environment_score_end,social_score_end,governance_score_end,total_score_end,Annual_Return,Cluster_environment_score_end,Cluster_social_score_end,Cluster_governance_score_end,Cluster_total_score_end,Cluster_Annual_Return
5.74,13.46,10.8,30.0,0.7370292968749973,1,1,1,1,0
5.44,12.93,9.73,28.09,0.0196758678564587,1,1,1,1,2
5.71,14.62,9.86,30.18,-0.0945598678566099,1,1,1,1,2
444.0,310.0,295.0,1049.0,-0.121521236392949,0,0,0,0,2
0.75,9.96,5.22,15.93,0.8361509321586353,1,1,1,1,0
0.94,9.46,4.99,15.4,0.4155090228770776,1,1,1,1,0
1.13,8.96,4.88,14.98,0.1069959662222174,1,1,1,1,2
0.86,7.32,4.93,13.12,-0.292317388310411,1,1,1,1,2
485.0,304.0,288.0,1077.0,0.0935439328901999,0,0,0,0,2
13.6,4.11,7.25,24.83,-0.305126115007441,1,1,1,1,2
10.21,13.15,7.72,31.07,0.1442287595370415,1,1,1,1,2
7.12,11.35,6.39,24.87,-0.256873210194094,1,1,1,1,2
21.98,8.88,7.96,38.81,0.8354948866781068,1,1,1,1,0
510.0,316.0,325.0,1151.0,0.6129985387089295,0,0,0,0,0
6.28,1.68,3.67,11.64,0.1614027682070266,1,1,1,1,2
6.05,1.46,3.65,11.17,0.1048331224138371,1,1,1,1,2
5.94,1.28,3.59,10.81,-0.189412829228729,1,1,1,1,2
512.0,303.0,475.0,1290.0,-0.198405526114513,0,0,0,0,2
4.12,7.54,7.65,19.3,0.573653746841894,1,1,1,1,0
3.97,6.38,6.82,17.17,0.3580361681323126,1,1,1,1,0
3.77,4.71,5.33,13.81,0.255709471542467,1,1,1,1,0
555.0,339.0,310.0,1204.0,-0.35382859129044,0,0,0,0,2
600.0,337.0,345.0,1282.0,-0.120899850078775,0,0,0,0,2
15.9,15.4,7.04,38.35,0.2120489706434832,1,1,1,1,0
14.34,14.54,6.65,35.54,-0.148250629013065,1,1,1,1,2
13.42,13.09,6.75,33.26,0.0982179765966284,1,1,1,1,2
14.15,13.05,6.58,33.79,0.1403809320358953,1,1,1,1,2
280.0,347.0,330.0,957.0,0.1879891240940953,2,0,0,0,0
3.57,3.6,5.96,13.0,-0.0254213191064935,1,1,1,1,2
3.54,3.69,5.62,12.81,0.2151589966283396,1,1,1,1,0
3.51,3.55,5.35,12.42,-0.237717440093522,1,1,1,1,2
500.0,300.0,298.0,1098.0,-0.0363409125031207,0,0,0,0,2
8.99,8.39,8.71,26.09,0.3711950271219582,1,1,1,1,0
8.96,8.66,7.9,25.52,0.5146017651473884,1,1,1,1,0
210.0,212.0,200.0,622.0,-0.13877721023209,2,2,2,2,2
13.3,1.58,4.38,19.25,0.4758574935131994,1,1,1,1,0
12.78,1.76,4.22,18.74,0.1792747057697586,1,1,1,1,0
12.19,1.93,4.0,18.12,0.3930914574243359,1,1,1,1,0
535.0,347.0,325.0,1207.0,-0.23209258167087,0,0,0,0,2
11.17,9.76,5.66,26.6,0.2124664919627377,1,1,1,1,0
11.97,9.92,5.98,27.93,-0.0025275094168526,1,1,1,1,2
12.78,10.06,6.24,29.14,0.3582089841796114,1,1,1,1,0
13.23,9.74,5.5,28.48,0.2301179060246261,1,1,1,1,0
653.0,395.0,300.0,1348.0,-0.120706976828314,0,0,0,0,2
0.07,13.13,10.19,23.25,0.3256308487824932,1,1,1,1,0
0.06,11.74,9.87,21.68,-0.030081821673649,1,1,1,1,2
0.05,10.17,9.41,19.62,0.3487221928074411,1,1,1,1,0
230.0,226.0,208.0,664.0,0.1012097119399164,2,2,2,2,2
260.0,222.0,213.0,695.0,0.0419304583085152,2,2,2,2,2
220.0,224.0,235.0,679.0,-0.108137242934284,2,2,2,2,2
220.0,394.0,265.0,879.0,-0.166777565586945,2,0,0,2,2
2.5,17.47,8.88,28.56,0.2669697385845758,1,1,1,1,0
2.56,16.84,9.05,28.45,-0.0560000251321234,1,1,1,1,2
2.51,15.96,9.22,27.7,0.0664678670159246,1,1,1,1,2
500.0,316.0,300.0,1116.0,-0.106173930753964,0,0,0,0,2
2.55,8.35,5.18,16.08,-0.253361981581835,1,1,1,1,2
2.11,5.2,4.6,11.92,0.1289738839755438,1,1,1,1,2
430.0,231.0,300.0,961.0,-0.0838621882426218,0,2,0,0,2
3.45,16.51,11.25,31.84,0.0475614677658257,1,1,1,1,2
3.4,18.48,11.17,33.05,0.2252556682464067,1,1,1,1,0
3.41,18.26,10.64,32.31,-0.0803777942687077,1,1,1,1,2
3.55,16.17,9.57,29.3,0.0019123487505983,1,1,1,1,2
607.0,384.0,315.0,1306.0,0.1128641268231669,0,0,0,0,2
321.0,349.0,310.0,980.0,-0.241471361931831,2,0,0,0,2
0.04,14.99,8.49,23.52,-0.0003705206606888,1,1,1,1,2
0.03,15.3,8.03,23.36,-0.18123452615097,1,1,1,1,2
0.02,14.65,7.54,22.2,-0.023683597274034,1,1,1,1,2
0.02,13.07,7.82,20.91,-0.11492813469162,1,1,1,1,2
275.0,227.0,300.0,802.0,-0.271188674240294,2,2,0,2,2
2.38,12.18,10.22,24.81,0.0812030645745892,1,1,1,1,2
2.21,10.69,10.32,23.22,-0.158937784448584,1,1,1,1,2
1.99,9.46,10.7,22.15,0.3665882783777553,1,1,1,1,0
500.0,300.0,300.0,1100.0,-0.193003376332653,0,0,0,0,2
4.37,9.5,6.23,20.31,0.2143266699002217,1,1,1,1,0
3.88,9.4,6.15,19.43,0.0768082211798021,1,1,1,1,2
3.88,9.68,6.31,19.87,0.0663244357638888,1,1,1,1,2
558.0,306.0,310.0,1174.0,-0.0807717544108543,0,0,0,0,2
