ticker,date,env,soc,gov,ret,mom
A,2019-12-31,0.0012100307375624139,0.018776332661659647,0.00854103085791794,0.282857106144266,0.009162909006821597
A,2020-12-31,0.0011961223382800873,0.01863894486169628,0.007841641234316719,0.3793945955643759,0.009148456468955948
A,2021-12-31,0.0011961223382800873,0.0186847407950174,0.006633604611732791,0.3422733362993932,0.009162909006821597
A,2022-04-14,0.7969373704780317,0.5260120901263967,0.4871142760257715,-0.2047798588590818,0.8360359579142097
AAL,2022-04-14,0.3755128722235358,0.4802161568052757,0.5549338758901322,0.0422380952879192,0.009162909006821597
AAP,2022-04-14,0.3671678326541398,0.5947059901080785,0.43836893862326215,-0.0912566770676766,0.009162909006821597
AAPL,2019-12-31,0.0007510535612456362,0.028164498992489465,0.015492539844014922,0.8958615472504776,0.009162909006821597
AAPL,2021-12-31,0.0002364427877995521,0.014677596629419308,0.012080366225839266,0.3299131339291293,0.008628165105792576
AAPL,2022-04-14,0.0008901375540689022,0.012777065396592782,0.012271108850457782,-0.0705168330191862,0.00984217828650711
ABBV,2019-12-31,0.001418656726797313,0.03613299139036453,0.01801458121397084,-0.0295922513311932,0.009162909006821597
ABBV,2020-12-31,0.0013212979318210267,0.03611009342370398,0.01987962021024076,0.2028513619599402,0.009061741241762051
ABBV,2021-12-31,0.0008901375540689022,0.03599560359040117,0.0167853509664293,0.2632953303877389,0.008714880332986471
ABBV,2022-04-14,0.7023602553582108,0.7229346034072175,0.6291115632417769,0.1986558833836829,0.7380766562608393
ABC,2022-04-14,0.7023602553582108,0.6840080600842645,0.6609020006781959,0.2159451236039055,0.009162909006821597
ABMD,2022-04-14,0.6954060557170475,0.7389631800696098,0.6397083757205833,-0.1450279704685335,0.009162909006821597
ABT,2019-12-31,0.005146107734460841,0.03212584722476644,0.018650389962699222,0.2339821191009301,0.009162909006821597
ABT,2020-12-31,0.00465931375957941,0.03338523539109727,0.016848931841302137,0.2722519285365197,0.008657070181523875
ABT,2021-12-31,0.004186428183980306,0.03297307199120718,0.015344184469311632,0.2849448284643596,0.008671522719389525
ABT,2022-04-14,0.7162686546405375,0.6954570434145448,0.6397083757205833,-0.1559204717519234,0.7491039426523297
ACN,2017-12-29,0.0012656643346917204,0.016807107528851433,0.005595116988809766,0.304225591412965,0.009162909006821597
ACN,2018-12-31,0.0013352063311033533,0.01568510716248397,0.005722278738555443,-0.0813681139619869,0.009235171696149843
ACN,2019-12-31,0.0013212979318210267,0.015616413262502288,0.006421668362156664,0.5156554986339222,0.009148456468955948
ACN,2020-12-31,0.0010431299461744947,0.012135922330097085,0.005976602238046797,0.2387839832067958,0.008873858249508612
ACN,2022-04-14,0.7162686546405375,0.8213958600476278,0.6397083757205833,-0.2295615723742981,0.7523702162099665
ADBE,2019-12-31,0.0006397863669870234,0.015318739695915,0.00438708036622584,0.4997498616085923,0.009162909006821597
ADBE,2020-12-31,0.0006119695684223702,0.015524821395860047,0.004005595116988809,0.5155151367187485,0.009134003931090299
ADBE,2021-12-31,0.00065369476626935,0.010006411430664957,0.0033485927433028148,0.1334399588137733,0.009206266620418544
