ticker,environment_score,social_score,governance_score,total_score,esg_score_year,Date,High,Low,Open,Close,Volume,Adj Close,esg_momentum,Annual_Return_Close,Annual_Return_High
ALB,618.2,820.6,824.6,2263.4,2021,1/4/2021,156.7599945,150.2899933,152.8999939,152.6300049,2898700,151.0861359,3.4,110.20521087694286,112.18191707499017
AMGN,999.4,705.4,864.8,2569.6,2020,1/2/2020,243.1900024,238.9799957,243,240.1000061,2088000,224.7041626,39.2,,
AMGN,999.4,736.4,870,2605.8,2021,1/4/2021,231.25,223.6699982,231.25,226.6600037,3088200,217.9892578,36.2,-5.597668496,-4.909742293
AMP,952,799.2,745.4,2496.6,2021,1/4/2021,195.8999939,185.8000031,195.3000031,188.1100006,587800,184.254425,51.4,,
AMP,945.6,851.4,750.6,2547.6,2022,1/3/2022,306.3399963,302.4200134,303.6799927,304.2600098,390500,303.1827698,51,61.74579173330776,56.37570486927923
AMT,883.8,866.4,888,2638.2,2020,1/2/2020,231.1499939,228.0099945,229.6799927,228.5,1426000,218.7402344,0.6,,
AMT,925.4,924.4,902,2751.8,2021,1/4/2021,226.2100067,219.2700043,226.0700073,219.6000061,2786400,214.2023163,113.6,-3.894964508,-2.137134904
AMT,951.8,930.4,899.8,2782,2022,1/3/2022,292.5499878,280.2799988,292.3699951,286.3800049,1597900,284.8573608,30.2,30.409834674408053,29.32672257420519
AMZN,885.2,730.8,784,2400,2020,1/2/2020,1898.01001,1864.150024,1875,1898.01001,4029000,1898.01001,64.2,,
AMZN,891.2,741.4,805.4,2438,2021,1/4/2021,3272,3144.02002,3270,3186.629883,4411400,3186.629883,38,67.89320742,72.39108238422831
AMZN,885.8,707.6,802.8,2396.2,2022,1/3/2022,3414.070068,3323.209961,3351,3408.090088,3176000,3408.090088,-41.8,6.949668242974916,4.341994743276278
ANSS,981.2,810.8,900.2,2692.2,2020,1/2/2020,259.6600037,256.25,257.0100098,259.5899963,657900,259.5899963,10.8,,
ANSS,977.4,820.8,902.4,2700.6,2021,1/4/2021,373.7900085,353.75,362.3500061,357.6700134,521700,357.6700134,8.4,37.78266439306546,43.95363289444487
ANSS,982.8,853.6,901.4,2737.8,2022,1/3/2022,403.1799927,390.5,398.9500122,395.4899902,377200,395.4899902,37.2,10.573985904069637,7.8626992513632255
AOS,795.8,737,845.6,2378.4,2020,1/2/2020,47.97999954,47.20999908,47.90999985,47.77000046,1093200,45.84213257,-122.4,,
AOS,857.6,773,872.2,2502.8,2022,1/3/2022,86.08000183,82.94000244,85.83999634,83.56999969,840000,83.26150513,124.4,74.94243015546331,79.40809223692627
